product_family,model_identifiers,benchmarks_reached,finished_runs
GPT / OpenAI,63,64,1441
Claude,34,29,931
Gemini / Gemma,17,27,732
Grok,18,19,309
DeepSeek,6,19,182
GLM / zAI,13,18,195
Llama / Meta,12,18,211
Kimi,6,17,236
Other / aliased,14,15,225
Qwen,11,15,132
MiniMax,5,14,130
Poolside,5,10,66
Cursor,2,7,28
Mistral,2,5,27
