benchmark,score_type,detailed_runs,system_cells,repeated_cells,between_system_sd,within_run_sd,needed_per_system_5pp,needed_per_system_10pp
rsi-gpu-shell-qwen35-base-fabv2-valcode-20260713182058,native,1,1,0,,,,
rsi-gpu-shell-qwen35rl-fabv2-20260702112041,binary,1,1,0,,,,
rsi-gpu-shell-qwen35rl-fabv2-20260702112041,native,1,1,0,,,,
rsi-gpu-shell-rsi-closed-loop-48h-20260703145002,binary,1,1,0,,,,
rsi-gpu-shell-rsi-closed-loop-48h-20260703145002,native,1,1,0,,,,
rsi-gpu-shell-vals-persona2-0701165556,binary,1,1,0,,,,
rsi-gpu-shell-vals-persona2-0701165556,native,1,1,0,,,,
skillsbench,binary,1,1,0,,,,
skillsbench,native,1,1,0,,,,
snap,binary,0,0,0,,,,
snap,native,0,0,0,,,,
snap-pilot,binary,0,0,0,,,,
snap-pilot,native,1,1,0,,,,
social-mobility,binary,0,0,0,,,,
social-mobility,native,0,0,0,,,,
srebench,binary,1,1,0,,,,
srebench,native,1,1,0,,,,
swebench,binary,50,47,2,0.10493564291612532,0.020822017276201133,3,1
swebench,native,0,0,0,,,,
swesmith,binary,1,1,0,,,,
swesmith,native,0,0,0,,,,
tax-eval-v3,binary,0,0,0,,,,
tax-eval-v3,native,0,0,0,,,,
terminal-bench,binary,82,54,6,0.1361485146545611,0.08901319274274634,50,13
terminal-bench,native,82,54,6,0.1361485146545611,0.08901319274274634,50,13
terminal-bench-local,binary,1,1,0,,,,
terminal-bench-local,native,1,1,0,,,,
terminus,binary,1,1,0,,,,
terminus,native,1,1,0,,,,
valsmith,binary,0,0,0,,,,
valsmith,native,0,0,0,,,,
valsmith-generation,binary,0,0,0,,,,
valsmith-generation,native,0,0,0,,,,
valsmith-task-filter,binary,0,0,0,,,,
valsmith-task-filter,native,0,0,0,,,,
vcb,binary,0,0,0,,,,
vcb,native,44,40,3,0.27935949326825893,0.1225217025266118,95,24
vcb-1-100,binary,0,0,0,,,,
vcb-1-100,native,1,1,0,,,,
voice-code-bench,binary,0,0,0,,,,
voice-code-bench,native,0,0,0,,,,
web-search,binary,1,1,0,,,,
web-search,native,1,1,0,,,,
