benchmark,detailed_runs,task_records,binary_records,native_records,cost_records,input_tokens_records,output_tokens_records,reasoning_tokens_records,cache_read_tokens_records,cache_write_tokens_records,duration_seconds_records,tool_calls_records,turns_records,unpriced_zero_cost_records,invalid_negative_telemetry_records,binary_share,native_share,cost_share,input_tokens_share,output_tokens_share,reasoning_tokens_share,cache_read_tokens_share,duration_seconds_share,tool_calls_share
progbench7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-nfvtrain-07011459,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voice-code-bench,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-nanochat-finance-vibecode-20260701143215,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-qwen35rl-fabv2-20260702112041,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-rsi-closed-loop-48h-20260703145002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-nchatckpt-07011539,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-matrix-h0-20260713203919,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-assay-mini-20260703004310,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-gemma-harness-20260629010831,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrainbench,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fhc-aoe-20260715232322,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-gptoss-h4-modal-20260715002654,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-q9ar5d-0722105006,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-gemma-harness-v1-20260629082024,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snap,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal-bench-local,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-qwen35-base-fabv2-valcode-20260713182058,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
