alibaba/qwen3.7-max,alibaba/qwen3.7-plus,anthropic/claude-fruitcake-eap,anthropic/claude-queso-eap,anthropic/claude-queso-eap-max-effort,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemma-4-31b-it,grok/v9-carrot,grok/v9-potato,grok/v9-stickynote,kimi/kimi-k2.7-code,meta/blue_tower,meta/super_nova_xhigh,minimax/MiniMax-M2.1,minimax/MiniMax-M2.5,minimax/MiniMax-M2.7,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,mistralai/mistral-small-2603,nvidia/nemotron-3-ultra-550b-a55b,openai/gpt-5.4-mini,openai/gpt-5.5,openai/gpt-5.6-luna,openai/iris-alpha-code-mode,openai/kindle-alpha,openai/mercury-alpha,openai/nova-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5.1-thinking,zai/glm-5.2
nan,2.803059552906940199e-01,3.518657752744984712e-01,1.019294382875250843e-01,3.307727156380790290e-01,nan,2.814984787296511137e-01,nan,nan,nan,7.676494735787385837e-01,5.395203898670106746e-01,1.000000000000000000e+00,3.300441880597554944e-01,nan,3.598637460328731330e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.633306583585879657e-01,3.814882103344266473e-01,2.279649796965138031e-01,1.838871467256245895e-01,-6.886006531847028295e-03,nan,nan,nan,2.659080117391552367e-01,nan,nan,nan,3.223291856101521136e-01
nan,-6.167939547439610370e-02,2.641352718976870961e-01,2.581988897471612643e-01,2.405721395176876887e-01,nan,2.588414429342564826e-01,nan,nan,nan,1.971153023263642057e-01,3.355481727574750606e-01,3.300441880597554944e-01,1.000000000000000000e+00,-5.763904177042351168e-02,4.345506947900569794e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.618795920654933274e-01,3.045779004111430210e-01,2.229449447185217759e-01,1.352504452001148383e-01,2.353104026675063160e-02,nan,nan,nan,3.540683994468871720e-01,nan,nan,nan,3.746537715077527531e-01
nan,-2.173913043478261156e-02,9.352195295828247268e-02,2.067245576486808623e-01,-1.215661347709661999e-01,nan,-1.166423687039608720e-01,nan,nan,nan,-1.025343660807533502e-01,-5.763904177042351168e-02,nan,-5.763904177042351168e-02,1.000000000000000000e+00,1.969733436855182762e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.290810644963638676e-01,1.486904285332952547e-01,-1.266293229182740843e-01,-6.375767130633382129e-02,1.749635530559413288e-01,nan,nan,nan,-2.040816326530612776e-02,nan,nan,nan,-7.142857142857142461e-02
nan,2.029610352214972213e-01,3.793541303747200444e-01,3.026768043032830868e-01,1.372032586885354732e-01,nan,2.577084830561252038e-01,nan,nan,nan,1.802656546489563583e-01,6.428264715829244691e-02,3.598637460328731330e-01,4.345506947900569794e-01,1.969733436855182762e-01,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.328714888226088631e-01,2.178034209345160732e-01,1.372032586885354455e-01,2.719979572552593816e-01,2.913523634099678405e-01,nan,nan,nan,1.969733436855183595e-01,nan,nan,nan,2.636846819689065979e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,2.982793795006521975e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000056e-01,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,2.263674800514523799e-01,3.110463165438955291e-01,5.637981363555518710e-01,3.718290404220335188e-01,nan,4.000661320993193493e-01,nan,nan,nan,2.106305315850697801e-01,2.618795920654933274e-01,3.633306583585879657e-01,2.618795920654933274e-01,2.290810644963638676e-01,3.328714888226088631e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,2.032812339426836312e-01,2.548488745835858493e-01,3.317543904905497221e-01,4.000661320993192938e-01,nan,nan,nan,2.290810644963638676e-01,nan,nan,nan,2.449894717530557431e-01
nan,1.571736533654828905e-01,2.795426231258448246e-01,3.786726942593882650e-01,4.801652979103487318e-01,nan,3.595462477533372669e-01,nan,nan,nan,3.245095657259345900e-01,1.892074835887403994e-01,3.814882103344266473e-01,3.045779004111430210e-01,1.486904285332952547e-01,2.178034209345160732e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.032812339426836312e-01,1.000000000000000000e+00,2.774251285747236784e-01,3.590125334640460464e-01,2.778311914457606280e-01,nan,nan,nan,1.486904285332952547e-01,nan,nan,nan,3.202563076101742068e-01
nan,-1.325085975629266555e-01,4.044434703606646919e-01,4.000000000000000777e-02,1.436758151344982581e-01,nan,1.809367161139364688e-01,nan,nan,nan,1.292831143885206646e-01,1.068277860109583116e-01,2.279649796965138031e-01,2.229449447185217759e-01,-1.266293229182740843e-01,1.372032586885354455e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.548488745835858493e-01,2.774251285747236784e-01,1.000000000000000000e+00,2.673325635149597090e-01,5.099125635938208667e-01,nan,nan,nan,-1.266293229182740565e-01,nan,nan,nan,2.618924633082485576e-01
nan,3.518657752744983602e-01,2.933994099743797990e-01,1.926812144973351348e-01,4.195658876293891226e-01,nan,2.150842447720557882e-01,nan,nan,nan,1.420413785772318971e-01,1.352504452001148660e-01,1.838871467256245895e-01,1.352504452001148383e-01,-6.375767130633382129e-02,2.719979572552593816e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.317543904905497221e-01,3.590125334640460464e-01,2.673325635149597090e-01,1.000000000000000000e+00,3.072231089745253163e-01,nan,nan,nan,-6.375767130633382129e-02,nan,nan,nan,5.032725922040560962e-02
nan,1.713120722160482445e-01,4.454354031873739572e-01,2.977325790784217108e-01,2.150597223603682717e-01,nan,2.500000000000000555e-01,nan,nan,nan,1.034175379990038141e-01,2.353104026675059343e-02,-6.886006531847028295e-03,2.353104026675063160e-02,1.749635530559413288e-01,2.913523634099678405e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.000661320993192938e-01,2.778311914457606280e-01,5.099125635938208667e-01,3.072231089745253163e-01,1.000000000000000000e+00,nan,nan,nan,-1.166423687039608720e-01,nan,nan,nan,2.041241452319314809e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan
nan,-2.173913043478261156e-02,9.352195295828247268e-02,2.067245576486808623e-01,1.678770432551437430e-01,nan,1.749635530559413010e-01,nan,nan,nan,1.990372988626389061e-01,-5.763904177042351168e-02,2.659080117391552367e-01,3.540683994468871720e-01,-2.040816326530612776e-02,1.969733436855183595e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.290810644963638676e-01,1.486904285332952547e-01,-1.266293229182740565e-01,-6.375767130633382129e-02,-1.166423687039608720e-01,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,2.857142857142856984e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan
nan,nan,nan,nan,nan,3.882167573820719531e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000056e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan
nan,-7.175473098524096094e-02,2.182178902359923622e-01,3.318060248025013204e-01,2.836543144655876980e-01,nan,4.082482904638629617e-01,nan,nan,nan,4.855303805588613297e-01,8.645856265563527099e-02,3.223291856101521136e-01,3.746537715077527531e-01,-7.142857142857142461e-02,2.636846819689065979e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.449894717530557431e-01,3.202563076101742068e-01,2.618924633082485576e-01,5.032725922040560962e-02,2.041241452319314809e-01,nan,nan,nan,2.857142857142856984e-01,nan,nan,nan,1.000000000000000000e+00
