variance_rank,model,runs,mean_score,sd_score,sd_score_c4_corrected,min_score,max_score,within_cell_ss,mean_task_error_share,max_task_error_share,score_error_share_correlation,run_span_days,complete_taskset_hashes
1,thinkingmachines/inkling,6,0.24719101123595508,0.25033748209678425,0.2630886353039345,0.011235955056179777,0.48314606741573035,0.3133442747127888,0.0,0.0,,0.4483687981481482,0
2,meta/emerald_lagoon,7,0.5537720706260032,0.1420825333037513,0.14810001636211878,0.23595505617977527,0.6404494382022472,0.1211246776200696,0.0,0.0,,2.3279987346064814,1
3,meta/glassy_lagoon,7,0.6276083467094704,0.12964892780936546,0.13513982249210943,0.3370786516853933,0.7078651685393258,0.10085306689270833,0.0,0.0,,2.3279900369791666,1
4,openai/gpt-5.4-mini-2026-03-17,6,0.4288389513108614,0.13932886308191625,0.14642569758090954,0.29213483146067415,0.6292134831460674,0.0970626604384968,0.0,0.0,,2.4384907426157407,1
5,meta/super_nova_max,7,0.6035313001605136,0.07186160750426525,0.0749050921300602,0.5168539325842697,0.7415730337078652,0.030984543798582433,0.006420545746388443,0.011235955056179775,-0.724321099713988,0.23478801334490743,0
